,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
1050,tt0399146,A History of Violence,English,Canada,96,R,81.0,32000000.0,New Line Cinema,Best Performance by an Actor in a Supporting Role,2,John Wagner,Vince Locke,David Cronenberg,Viggo Mortensen,Maria Bello,Ed Harris,Drama' 'Thriller,Drama,Thriller,2005-09-30,Fall
1052,tt0089424,Kiss of the Spider Woman,English,Brazil,120,R,80.0,,Island Pictures,Best Actor in a Leading Role,4,Manuel Puig,Leonard Schrader,Hector Babenco,William Hurt,Raul Julia,Sônia Braga,Drama,Drama,,1985-07-26,Summer
1056,tt3203606,Trumbo,English,USA,124,R,60.0,15000000.0,Bleecker Street Media,Best Performance by an Actor in a Leading Role,1,John McNamara,Bruce Cook,Jay Roach,Bryan Cranston,Diane Lane,Helen Mirren,Biography' 'Drama,Biography,Drama,2015-11-27,Fall
1057,tt0117666,Sling Blade,English,USA,135,R,84.0,1000000.0,Miramax,Best Actor in a Leading Role,2,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,Drama,Drama,,1997-03-14,Winter
1059,tt1173745,Revanche,German,Austria,121,Not Rated,84.0,,Janus Films,Best Foreign Language Film of the Year,1,Götz Spielmann,,Götz Spielmann,Johannes Krisch,Irina Potapenko,Andreas Lust,Crime' 'Drama,Crime,Drama,2008-05-16,Spring
1060,tt3966404,Mustang,Turkish,Turkey,97,PG-13,83.0,3000000.0,Cohen Media Group,Best Foreign Language Film of the Year,1,Deniz Gamze Ergüven,Alice Winocour,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Drama,Drama,,2015-06-17,Summer
1061,tt0104348,Glengarry Glen Ross,English,USA,100,R,82.0,12500000.0,New Line Cinema,Best Actor in a Supporting Role,1,David Mamet,David Mamet,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Crime' 'Drama,Crime,Drama,1992-10-02,Fall
1063,tt3682448,Bridge of Spies,English,Germany,142,PG-13,81.0,40000000.0,Walt Disney Studios Motion Pictures,Best Motion Picture of the Year,6,Matt Charman,Ethan Coen,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Drama' 'History,Drama,History,2015-10-16,Fall
1069,tt0338309,Evil,Swedish,Sweden,113,Not Rated,61.0,2900000.0,Magnolia Pictures,Best Foreign Language Film,1,Jan Guillou,Hans Gunnarsson,Mikael Håfström,Andreas Wilson,Henrik Lundström,Gustaf Skarsgård,Drama,Drama,,2003-09-26,Fall
1071,tt0095647,Mississippi Burning,English,USA,128,R,65.0,15000000.0,Orion Pictures,Best Actor in a Leading Role,7,Chris Gerolmo,,Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Crime' 'Drama,Crime,Drama,1989-01-27,Winter
1078,tt1895587,Spotlight,English,USA,129,R,93.0,20000000.0,Open Road Films,Best Motion Picture of the Year,6,Josh Singer,Tom McCarthy,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Biography' 'Crime,Biography,Crime,2015-11-20,Fall
1084,tt0080798,Gloria,English,USA,123,PG,68.0,40053846.15384615,Columbia Pictures,Best Actress in a Leading Role,1,John Cassavetes,,John Cassavetes,Gena Rowlands,Buck Henry,Julie Carmen,Crime' 'Drama,Crime,Drama,1980-10-01,Fall
1085,tt0472062,Charlie Wilson's War,English,USA,102,R,67.0,75000000.0,Universal Pictures,Best Performance by an Actor in a Supporting Role,1,Aaron Sorkin,George Crile,Mike Nichols,Tom Hanks,Julia Roberts,Philip Seymour Hoffman,Biography' 'Comedy,Biography,Comedy,2007-12-21,Winter
1088,tt0383694,Vera Drake,English,UK,125,R,83.0,11000000.0,Fine Line Features,Best Performance by an Actress in a Leading Role,3,Mike Leigh,,Mike Leigh,Imelda Staunton,Jim Broadbent,Heather Craney,Crime' 'Drama,Crime,Drama,2005-02-04,Winter
1091,tt0978759,Frozen River,English,USA,97,R,82.0,1000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,2,Courtney Hunt,,Courtney Hunt,Melissa Leo,Misty Upham,Charlie McDermott,Crime' 'Drama,Crime,Drama,2008-09-05,Fall
1093,tt0117631,Shine,English,Australia,105,PG-13,87.0,5500000.0,Fine Line Features,Best Actor in a Leading Role,7,Jan Sardi,Scott Hicks,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Biography' 'Drama,Biography,Drama,1997-02-14,Winter
1101,tt0308644,Finding Neverland,English,USA,106,PG,67.0,25000000.0,Miramax,Best Motion Picture of the Year,7,Allan Knee,David Magee,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Biography' 'Drama,Biography,Drama,2004-12-17,Winter
1109,tt1853728,Django Unchained,English,USA,165,R,81.0,100000000.0,The Weinstein Company,Best Motion Picture of the Year,5,Quentin Tarantino,,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Drama' 'Western,Drama,Western,2012-12-25,Winter
1114,tt0089755,Out of Africa,English,USA,161,PG,69.0,31000000.0,Universal Pictures,Best Actor in a Supporting Role,11,Karen Blixen,Judith Thurman,Sydney Pollack,Meryl Streep,Robert Redford,Klaus Maria Brandauer,Biography' 'Drama,Biography,Drama,1985-12-20,Winter
1125,tt1045658,Silver Linings Playbook,English,USA,122,R,81.0,21000000.0,The Weinstein Company,Best Motion Picture of the Year,8,David O. Russell,Matthew Quick,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Comedy' 'Drama,Comedy,Drama,2012-12-25,Winter
1133,tt0315983,House of Sand and Fog,English,USA,126,R,71.0,16500000.0,DreamWorks Distribution,Best Actor in a Leading Role,3,Andre Dubus III,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,Ron Eldard,Crime' 'Drama,Crime,Drama,2004-01-09,Winter
1136,tt0080678,The Elephant Man,English,USA,124,PG,78.0,5000000.0,Paramount Pictures,Best Actor in a Leading Role,8,Christopher De Vore,Eric Bergren,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,Biography' 'Drama,Biography,Drama,1980-10-10,Fall
1144,tt0096969,Born on the Fourth of July,English,USA,145,R,75.0,14000000.0,Universal Pictures,Best Actor in a Leading Role,8,Ron Kovic,Oliver Stone,Oliver Stone,Tom Cruise,Bryan Larkin,Raymond J. Barry,Biography' 'Drama,Biography,Drama,1990-01-05,Winter
1152,tt0079417,Kramer vs. Kramer,English,USA,105,PG,77.0,8000000.0,Columbia Pictures,Best Actor in a Leading Role,8,Avery Corman,Robert Benton,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Drama,Drama,,1979-12-19,Winter
1160,tt1149362,The White Ribbon,Latin,Germany,144,R,82.0,18000000.0,Sony Pictures Classics,Best Achievement in Cinematography,2,Michael Haneke,Michael Haneke,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Drama' 'History,Drama,History,2010-03-05,Winter
1162,tt0340012,Being Julia,English,Canada,104,R,65.0,18000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,W. Somerset Maugham,Ronald Harwood,István Szabó,Annette Bening,Michael Gambon,Maury Chaykin,Comedy' 'Drama,Comedy,Drama,2005-02-18,Winter
1163,tt0405159,Million Dollar Baby,English,USA,132,PG-13,86.0,30000000.0,Warner Bros.,Best Motion Picture of the Year,7,Paul Haggis,F.X. Toole,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Drama' 'Sport,Drama,Sport,2005-01-28,Winter
1170,tt2737050,"Two Days, One Night",French,Belgium,95,PG-13,89.0,,Sundance Selects,Best Performance by an Actress in a Leading Role,1,Jean-Pierre Dardenne,Luc Dardenne,Jean-Pierre Dardenne,Marion Cotillard,Fabrizio Rongione,Catherine Salée,Drama,Drama,,2014-05-21,Spring
1171,tt0119396,Jackie Brown,English,USA,154,R,64.0,12000000.0,Miramax,Best Actor in a Supporting Role,1,Quentin Tarantino,Elmore Leonard,Quentin Tarantino,Pam Grier,Samuel L. Jackson,Robert Forster,Crime' 'Drama,Crime,Drama,1997-12-25,Winter
1172,tt0245157,Zus & zo,Dutch,Netherlands,106,Unrated,50.0,,Lifesize Entertainment,Best Foreign Language Film,1,Paula van der Oest,,Paula van der Oest,Sylvia Poorta,Anneke Blok,Monic Hendrickx,Comedy' 'Fantasy,Comedy,Fantasy,2002-05-08,Spring
1173,tt0083967,Frances,English,USA,140,R,48.0,46170129.883116886,Universal Pictures,Best Actress in a Leading Role,2,Eric Bergren,Christopher De Vore,Graeme Clifford,Jessica Lange,Sam Shepard,Kim Stanley,Biography' 'Drama,Biography,Drama,1983-03-11,Winter
1175,tt0450188,La Vie En Rose,French,France,140,PG-13,66.0,25000000.0,Picturehouse,Best Performance by an Actress in a Leading Role,3,Isabelle Sobelman,Olivier Dahan,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Biography' 'Drama,Biography,Drama,2007-07-20,Summer
1178,tt0258068,The Quiet American,English,UK,101,R,84.0,30000000.0,Miramax,Best Actor in a Leading Role,1,Graham Greene,Christopher Hampton,Phillip Noyce,Michael Caine,Brendan Fraser,Thi Hai Yen Do,Drama' 'Romance,Drama,Romance,2003-03-07,Winter
1183,tt1504320,The King's Speech,English,UK,118,R,88.0,15000000.0,The Weinstein Company,Best Motion Picture of the Year,12,David Seidler,,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Biography' 'Drama,Biography,Drama,2010-12-25,Winter
1195,tt0118849,Children of Heaven,Persian,Iran,89,PG,77.0,180000.0,Miramax Family Films,Best Foreign Language Film,1,Majid Majidi,,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Drama' 'Family,Drama,Family,1999-01-22,Winter
1197,tt0875034,Nine,English,UK,118,PG-13,49.0,80000000.0,The Weinstein Company,Best Performance by an Actress in a Supporting Role,4,Michael Tolkin,Anthony Minghella,Rob Marshall,Daniel Day-Lewis,Marion Cotillard,Penélope Cruz,Drama' 'Musical,Drama,Musical,2009-12-25,Winter
1201,tt0158302,Under solen,Swedish,Sweden,130,Unrated,60.0,,Shadow Distribution,Best Foreign Language Film,1,H.E. Bates,Johanna Hald,Colin Nutley,Rolf Lassgård,Helena Bergström,Johan Widerberg,Drama' 'Romance,Drama,Romance,,Fall
1202,tt0105151,The Player,English,USA,124,R,86.0,8000000.0,Fine Line Features,Best Director,3,Michael Tolkin,Michael Tolkin,Robert Altman,Tim Robbins,Greta Scacchi,Fred Ward,Comedy' 'Crime,Comedy,Crime,1992-05-08,Spring
1205,tt0097123,Crimes and Misdemeanors,English,USA,104,PG-13,77.0,19000000.0,Orion Pictures,Best Actor in a Supporting Role,3,Woody Allen,,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Comedy' 'Drama,Comedy,Drama,1989-11-03,Fall
1208,tt0388795,Brokeback Mountain,English,USA,134,R,87.0,14000000.0,Focus Features,Best Motion Picture of the Year,8,Annie Proulx,Larry McMurtry,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Drama' 'Romance,Drama,Romance,2006-01-13,Winter
1216,tt0457655,After the Wedding,Danish,Denmark,120,R,78.0,2500000.0,IFC Films,Best Foreign Language Film of the Year,1,Susanne Bier,Anders Thomas Jensen,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Drama,Drama,,2007-05-11,Spring
1217,tt0335266,Lost in Translation,English,USA,102,R,89.0,4000000.0,Focus Features,Best Picture,4,Sofia Coppola,,Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Comedy' 'Drama,Comedy,Drama,2003-10-03,Fall
1221,tt4669986,Loving,English,UK,123,PG-13,79.0,9000000.0,Focus Features,Best Performance by an Actress in a Leading Role,1,Jeff Nichols,Nancy Buirski,Jeff Nichols,Ruth Negga,Joel Edgerton,Will Dalton,Biography' 'Drama,Biography,Drama,2016-11-04,Fall
1222,tt6294822,The Post,English,USA,116,PG-13,83.0,50000000.0,Twentieth Century Fox,Best Motion Picture of the Year,2,Liz Hannah,Josh Singer,Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Drama' 'Thriller,Drama,Thriller,2018-01-12,Winter
1224,tt0449467,Babel,English,France,143,R,69.0,25000000.0,Paramount Vantage,Best Motion Picture of the Year,6,Guillermo Arriaga,Guillermo Arriaga,Alejandro G. Iñárritu,Brad Pitt,Cate Blanchett,Gael García Bernal,Drama,Drama,,2006-11-10,Fall
1232,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,English,USA,143,PG-13,63.0,140000000.0,Buena Vista Pictures,Best Actor in a Leading Role,5,Ted Elliott,Terry Rossio,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Action' 'Adventure,Action,Adventure,2003-07-09,Summer
1237,tt1399683,Winter's Bone,English,USA,100,R,90.0,2000000.0,Roadside Attractions,Best Motion Picture of the Year,4,Debra Granik,Anne Rosellini,Debra Granik,Jennifer Lawrence,John Hawkes,Garret Dillahunt,Drama' 'Mystery,Drama,Mystery,2010-07-16,Summer
1241,tt0280707,Gosford Park,English,USA,131,R,90.0,19800000.0,USA Films,Best Picture,6,Julian Fellowes,Robert Altman,Robert Altman,Maggie Smith,Ryan Phillippe,Michael Gambon,Comedy' 'Drama,Comedy,Drama,2002-01-18,Winter
1247,tt8649186,Corpus Christi,Polish,Poland,115,Unrated,77.0,,Film Movement,Best International Feature Film,1,Mateusz Pacewicz,,Jan Komasa,Bartosz Bielenia,Aleksandra Konieczna,Eliza Rycembel,Drama,Drama,,,Fall
1248,tt0089881,Ran,Japanese,Japan,162,R,96.0,11500000.0,Orion Classics,Best Art Direction-Set Decoration,4,Akira Kurosawa,Hideo Oguni,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Action' 'Drama,Action,Drama,1985-06-01,Summer
1252,tt1185616,Waltz with Bashir,Hebrew,Israel,90,R,91.0,1500000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Ari Folman,,Ari Folman,Ari Folman,Ron Ben-Yishai,Ronny Dayag,Documentary' 'Animation,Documentary,Animation,2008-06-12,Summer
1253,tt0478304,The Tree of Life,English,USA,139,PG-13,85.0,32000000.0,Twentieth Century Fox,Best Motion Picture of the Year,3,Terrence Malick,,Terrence Malick,Brad Pitt,Sean Penn,Jessica Chastain,Drama' 'Fantasy,Drama,Fantasy,2011-05-17,Spring
1256,tt1866249,The Sessions,English,USA,95,R,79.0,1000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Supporting Role,1,Ben Lewin,"""Mark O'Brien""",Ben Lewin,John Hawkes,Helen Hunt,William H. Macy,Biography' 'Comedy,Biography,Comedy,2012-11-16,Fall
1257,tt1613750,Kon-Tiki,Norwegian,UK,118,PG-13,62.0,16600000.0,,Best Foreign Language Film of the Year,1,Petter Skavlan,,Joachim Rønning,Pål Sverre Hagen,Anders Baasmo Christiansen,Gustaf Skarsgård,Adventure' 'Biography,Adventure,Biography,2013-04-26,Spring
1258,tt6000478,"Roman J. Israel, Esq.",English,Canada,122,PG-13,58.0,22000000.0,Columbia Pictures,Best Performance by an Actor in a Leading Role,1,Dan Gilroy,,Dan Gilroy,Denzel Washington,Colin Farrell,Carmen Ejogo,Crime' 'Drama,Crime,Drama,2017-11-22,Fall
1259,tt0497465,Vicky Cristina Barcelona,English,Spain,96,PG-13,70.0,15500000.0,Metro-Goldwyn-Mayer,Best Performance by an Actress in a Supporting Role,1,Woody Allen,,Woody Allen,Rebecca Hall,Scarlett Johansson,Javier Bardem,Comedy' 'Drama,Comedy,Drama,2008-08-15,Summer
1260,tt0112384,Apollo 13,English,USA,140,PG,77.0,52000000.0,Universal Pictures,Best Actor in a Supporting Role,9,Jim Lovell,Jeffrey Kluger,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Adventure' 'Drama,Adventure,Drama,1995-06-30,Summer
1269,tt4285496,Embrace of the Serpent,Spanish,Colombia,125,Not Rated,82.0,1400000.0,Oscilloscope,Best Foreign Language Film of the Year,1,Ciro Guerra,Theodor Koch-Grünberg,Ciro Guerra,Nilbio Torres,Jan Bijvoet,Antonio Bolívar,Adventure' 'Drama,Adventure,Drama,2015-05-25,Spring
1270,tt7048622,The Insult,Arabic,France,113,R,72.0,3000000.0,Cohen Media Group,Best Foreign Language Film of the Year,1,Ziad Doueiri,Joelle Touma,Ziad Doueiri,Adel Karam,Kamel El Basha,Camille Salameh,Crime' 'Drama,Crime,Drama,2019-06-25,Summer
1271,tt0234288,Divided We Fall,German,Czech Republic,117,PG-13,69.0,18000000.0,Columbia TriStar Home Entertainment,Best Foreign Language Film,1,Jan Hrebejk,Petr Jarchovský,Jan Hrebejk,Bolek Polívka,Csongor Kassai,Jaroslav Dusek,Comedy' 'Drama,Comedy,Drama,2000-03-16,Winter
1272,tt0120633,A Civil Action,English,USA,115,PG-13,68.0,75000000.0,Buena Vista Pictures,Best Actor in a Supporting Role,2,Jonathan Harr,Steven Zaillian,Steven Zaillian,John Travolta,Robert Duvall,Kathleen Quinlan,Drama,Drama,,1999-01-08,Winter
1274,tt0328538,Thirteen,English,USA,100,R,70.0,2000000.0,Fox Searchlight Pictures,Best Actress in a Supporting Role,1,Catherine Hardwicke,Nikki Reed,Catherine Hardwicke,Evan Rachel Wood,Holly Hunter,Nikki Reed,Drama,Drama,,2003-09-19,Fall
1275,tt0104036,The Crying Game,English,UK,112,R,90.0,25631250.0,Miramax,Best Actor in a Leading Role,6,Neil Jordan,,Neil Jordan,Stephen Rea,Jaye Davidson,Forest Whitaker,Crime' 'Drama,Crime,Drama,1993-02-19,Winter
1281,tt0082096,Das Boot,German,West Germany,149,R,86.0,,Triumph Films,Best Cinematography,6,Wolfgang Petersen,Lothar G. Buchheim,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Adventure' 'Drama,Adventure,Drama,1982-02-10,Winter
1287,tt2584384,Jojo Rabbit,English,New Zealand,108,PG-13,58.0,14000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,6,Christine Leunens,Taika Waititi,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Comedy' 'Drama,Comedy,Drama,2019-11-08,Fall
1293,tt0083866,E.T. the Extra-Terrestrial,English,USA,115,PG,91.0,10500000.0,Universal Pictures,Best Cinematography,9,Melissa Mathison,,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Family' 'Sci-Fi,Family,Sci-Fi,1982-06-11,Summer
1302,tt0093389,The Last Emperor,English,UK,163,PG-13,76.0,40053846.15384615,Columbia Pictures,Best Art Direction-Set Decoration,9,Mark Peploe,Bernardo Bertolucci,Bernardo Bertolucci,John Lone,Joan Chen,"""Peter O'Toole""",Biography' 'Drama,Biography,Drama,1988-04-15,Spring
1312,tt0250797,Unfaithful,English,France,124,R,63.0,50000000.0,Twentieth Century Fox,Best Actress in a Leading Role,1,Claude Chabrol,Alvin Sargent,Adrian Lyne,Richard Gere,Diane Lane,Olivier Martinez,Drama' 'Romance,Drama,Romance,2002-05-10,Spring
1314,tt2718492,Ida,Polish,Poland,82,PG-13,91.0,,Music Box Films,Best Achievement in Cinematography,2,Pawel Pawlikowski,Rebecca Lenkiewicz,Pawel Pawlikowski,Agata Kulesza,Agata Trzebuchowska,Dawid Ogrodnik,Drama,Drama,,2013-10-25,Fall
1316,tt0790636,Dallas Buyers Club,English,USA,117,R,80.0,5000000.0,Focus Features,Best Motion Picture of the Year,6,Craig Borten,Melisa Wallack,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Biography' 'Drama,Biography,Drama,2013-11-22,Fall
1322,tt2278388,The Grand Budapest Hotel,English,Germany,99,R,88.0,25000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,9,Stefan Zweig,Wes Anderson,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adventure' 'Comedy,Adventure,Comedy,2014-03-28,Winter
1331,tt2119532,Hacksaw Ridge,English,Australia,139,R,71.0,40000000.0,Lionsgate,Best Motion Picture of the Year,6,Robert Schenkkan,Andrew Knight,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Biography' 'Drama,Biography,Drama,2016-11-04,Fall
1337,tt0099422,Dick Tracy,English,USA,105,PG,68.0,47000000.0,Buena Vista Pictures Distribution,Best Actor in a Supporting Role,7,Chester Gould,Jim Cash,Warren Beatty,Warren Beatty,Madonna,Al Pacino,Action' 'Comedy,Action,Comedy,1990-06-15,Summer
1345,tt0090830,Children of a Lesser God,English,USA,119,R,80.0,10500000.0,Paramount Pictures,Best Actor in a Leading Role,5,Mark Medoff,Hesper Anderson,Randa Haines,William Hurt,Marlee Matlin,Piper Laurie,Drama' 'Romance,Drama,Romance,1986-10-31,Fall
1350,tt0112579,The Bridges of Madison County,English,USA,135,PG-13,66.0,24000000.0,Warner Bros.,Best Actress in a Leading Role,1,Richard LaGravenese,Robert James Waller,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Drama' 'Romance,Drama,Romance,1995-06-02,Summer
1351,tt0119822,As Good as It Gets,English,USA,139,PG-13,67.0,50000000.0,TriStar Pictures,Best Actor in a Leading Role,7,Mark Andrus,Mark Andrus,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Comedy' 'Drama,Comedy,Drama,1997-12-25,Winter
1360,tt0288330,Zelary,Czech,Czech Republic,150,R,66.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film,1,Kveta Legátová,Petr Jarchovský,Ondrej Trojan,Anna Geislerová,György Cserhalmi,Ivan Trojan,Drama' 'Romance,Drama,Romance,2003-09-04,Fall
1361,tt0116999,Marvin's Room,English,USA,98,PG-13,68.0,23000000.0,Miramax,Best Actress in a Leading Role,1,Scott McPherson,Scott McPherson,Jerry Zaks,Meryl Streep,Leonardo DiCaprio,Diane Keaton,Drama,Drama,,1997-02-28,Winter
1362,tt0107822,The Piano,English,New Zealand,121,R,89.0,7000000.0,Miramax,Best Actress in a Leading Role,8,Jane Campion,,Jane Campion,Holly Hunter,Harvey Keitel,Sam Neill,Drama' 'Music,Drama,Music,1994-02-11,Winter
1370,tt0110638,Nell,English,USA,112,PG-13,60.0,31000000.0,Twentieth Century Fox,Best Actress in a Leading Role,1,Mark Handley,William Nicholson,Michael Apted,Jodie Foster,Liam Neeson,Natasha Richardson,Drama,Drama,,1994-12-23,Winter
1371,tt0120815,Saving Private Ryan,English,USA,169,R,91.0,70000000.0,DreamWorks Distribution,Best Actor in a Leading Role,11,Robert Rodat,,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Drama' 'War,Drama,War,1998-07-24,Summer
1382,tt1596363,The Big Short,English,USA,130,R,81.0,28000000.0,Paramount Pictures,Best Motion Picture of the Year,5,Charles Randolph,Adam McKay,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Biography' 'Comedy,Biography,Comedy,2015-12-23,Winter
1387,tt0264464,Catch Me If You Can,English,USA,141,PG-13,75.0,52000000.0,DreamWorks Distribution,Best Actor in a Supporting Role,2,Jeff Nathanson,Frank Abagnale Jr.,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Biography' 'Crime,Biography,Crime,2002-12-25,Winter
1389,tt1033575,The Descendants,English,USA,115,R,84.0,20000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,5,Alexander Payne,Nat Faxon,Alexander Payne,George Clooney,Shailene Woodley,Amara Miller,Comedy' 'Drama,Comedy,Drama,2011-12-09,Winter
1394,tt0119164,The Full Monty,English,UK,91,R,75.0,3500000.0,Fox Searchlight Pictures,Best Director,4,Simon Beaufoy,,Peter Cattaneo,Robert Carlyle,Tom Wilkinson,Mark Addy,Comedy' 'Drama,Comedy,Drama,1997-09-19,Fall
1398,tt0217505,Gangs of New York,English,USA,167,R,72.0,100000000.0,Miramax,Best Picture,10,Jay Cocks,Jay Cocks,Martin Scorsese,Leonardo DiCaprio,Cameron Diaz,Daniel Day-Lewis,Crime' 'Drama,Crime,Drama,2002-12-20,Winter
1408,tt0118799,Life Is Beautiful,Italian,Italy,116,PG-13,59.0,20000000.0,Miramax,Best Actor in a Leading Role,7,Vincenzo Cerami,Roberto Benigni,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Comedy' 'Drama,Comedy,Drama,1997-12-20,Winter
1415,tt0086197,The Right Stuff,English,USA,193,PG,91.0,27000000.0,Warner Bros.,Best Actor in a Supporting Role,8,Philip Kaufman,Tom Wolfe,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Adventure' 'Biography,Adventure,Biography,1984-02-17,Winter
1425,tt0180073,Quills,English,UK,124,R,70.0,13500000.0,Fox Searchlight Pictures,Best Actor in a Leading Role,3,Doug Wright,Doug Wright,Philip Kaufman,Geoffrey Rush,Kate Winslet,Joaquin Phoenix,Biography' 'Drama,Biography,Drama,2001-01-19,Winter
1428,tt0477348,No Country for Old Men,English,USA,122,R,91.0,25000000.0,Hispanic Education And Media Group,Best Motion Picture of the Year,8,Joel Coen,Ethan Coen,Ethan Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Crime' 'Drama,Crime,Drama,2007-11-21,Fall
1436,tt0436697,The Queen,English,UK,103,PG-13,91.0,25631250.0,Miramax,Best Motion Picture of the Year,6,Peter Morgan,,Stephen Frears,Helen Mirren,Michael Sheen,James Cromwell,Biography' 'Drama,Biography,Drama,2006-11-17,Fall
1442,tt0094606,The Accidental Tourist,English,USA,121,PG,53.0,62519565.217391305,Warner Bros.,Best Actress in a Supporting Role,4,Anne Tyler,Frank Galati,Lawrence Kasdan,William Hurt,Kathleen Turner,Geena Davis,Drama' 'Romance,Drama,Romance,1989-01-06,Winter
1446,tt1560747,The Master,English,USA,138,R,86.0,32000000.0,The Weinstein Company,Best Performance by an Actor in a Leading Role,3,Paul Thomas Anderson,,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,Amy Adams,Drama,Drama,,2012-09-21,Fall
1449,tt5083738,The Favourite,English,Ireland,119,R,91.0,15000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,9,Deborah Davis,Tony McNamara,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Biography' 'Comedy,Biography,Comedy,2018-12-21,Winter
1459,tt1478338,Bridesmaids,English,USA,125,R,75.0,32500000.0,Universal Pictures,Best Performance by an Actress in a Supporting Role,2,Kristen Wiig,Annie Mumolo,Paul Feig,Kristen Wiig,Maya Rudolph,Rose Byrne,Comedy' 'Romance,Comedy,Romance,2011-05-13,Spring
1461,tt0311519,The Man Without a Past,Finnish,Finland,97,PG-13,84.0,18000000.0,Columbia TriStar Home Entertainment,Best Foreign Language Film,1,Aki Kaurismäki,,Aki Kaurismäki,Markku Peltola,Kati Outinen,Annikki Tähti,Comedy' 'Drama,Comedy,Drama,2002-03-01,Winter
1462,tt2179136,American Sniper,English,USA,133,R,72.0,58800000.0,Warner Bros.,Best Motion Picture of the Year,6,Jason Hall,Chris Kyle,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner,Action' 'Biography,Action,Biography,2015-01-16,Winter
1468,tt4239726,Tanna,Aboriginal,Australia,104,Not Rated,75.0,,Lightyear Entertainment,Best Foreign Language Film of the Year,1,Martin Butler,John Collee,Martin Butler,Mungau Dain,Marie Wawa,Marceline Rofit,Adventure' 'Drama,Adventure,Drama,2017-09-23,Fall
