,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
2208,tt0094737,Big,English,USA,104,PG,73.0,18000000.0,Twentieth Century Fox,Best Actor in a Leading Role,2,Gary Ross,Anne Spielberg,Penny Marshall,Tom Hanks,Elizabeth Perkins,Robert Loggia,Comedy' 'Drama,Comedy,Drama,1988-06-03,Summer
2210,tt0993846,The Wolf of Wall Street,English,USA,180,R,75.0,100000000.0,Paramount Pictures,Best Motion Picture of the Year,5,Terence Winter,Jordan Belfort,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Biography' 'Crime,Biography,Crime,2013-12-25,Winter
2215,tt0099077,Awakenings,English,USA,121,PG-13,74.0,31000000.0,Columbia Pictures,Best Actor in a Leading Role,3,Oliver Sacks,Steven Zaillian,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Biography' 'Drama,Biography,Drama,1991-01-11,Winter
2218,tt0095765,Cinema Paradiso,Italian,Italy,155,R,80.0,5000000.0,Miramax,Best Foreign Language Film,1,Giuseppe Tornatore,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Drama,Drama,,1990-02-23,Winter
2219,tt0105323,Scent of a Woman,English,USA,156,R,59.0,31000000.0,Universal Pictures,Best Actor in a Leading Role,4,Giovanni Arpino,Bo Goldman,Martin Brest,Al Pacino,"""Chris O'Donnell""",James Rebhorn,Drama,Drama,,1993-01-08,Winter
2223,tt0086425,Terms of Endearment,English,USA,132,PG,79.0,8000000.0,Paramount Pictures,Best Actor in a Supporting Role,9,Larry McMurtry,James L. Brooks,James L. Brooks,Shirley MacLaine,Debra Winger,Jack Nicholson,Comedy' 'Drama,Comedy,Drama,1983-12-09,Winter
2232,tt0454921,The Pursuit of Happyness,English,USA,117,PG-13,64.0,55000000.0,Columbia Pictures,Best Performance by an Actor in a Leading Role,1,Steve Conrad,,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Biography' 'Drama,Biography,Drama,2006-12-15,Winter
2233,tt0097441,Glory,English,USA,122,R,78.0,18000000.0,Columbia TriStar Home Entertainment,Best Actor in a Supporting Role,5,Kevin Jarre,Lincoln Kirstein,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Biography' 'Drama,Biography,Drama,1990-02-16,Winter
2238,tt1340107,In a Better World,Danish,Denmark,118,R,65.0,5500000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Anders Thomas Jensen,Susanne Bier,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Drama' 'Romance,Drama,Romance,2010-08-26,Summer
2239,tt0091217,Hoosiers,English,UK,114,PG,76.0,6000000.0,Orion Pictures,Best Actor in a Supporting Role,2,Angelo Pizzo,,David Anspaugh,Gene Hackman,Barbara Hershey,Dennis Hopper,Drama' 'Sport,Drama,Sport,1987-02-27,Winter
2241,tt0140888,Central Station,Portuguese,Brazil,110,R,80.0,2900000.0,Sony Pictures Classics,Best Actress in a Leading Role,2,Marcos Bernstein,João Emanuel Carneiro,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Drama,Drama,,1998-11-20,Fall
2243,tt0350258,Ray,English,USA,152,PG-13,73.0,40000000.0,Universal Pictures,Best Motion Picture of the Year,6,Taylor Hackford,James L. White,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Biography' 'Drama,Biography,Drama,2004-10-29,Fall
2249,tt0087365,Greystoke,English,UK,143,PG,62.0,30000000.0,Warner Bros.,Best Actor in a Supporting Role,3,Edgar Rice Burroughs,Robert Towne,Hugh Hudson,Christopher Lambert,Andie MacDowell,Ralph Richardson,Adventure' 'Drama,Adventure,Drama,1984-03-30,Winter
2252,tt0088213,Swing Shift,English,USA,100,PG,60.0,15000000.0,Warner Bros.,Best Actress in a Supporting Role,1,Nancy Dowd,,Jonathan Demme,Goldie Hawn,Kurt Russell,Christine Lahti,Drama' 'Romance,Drama,Romance,1984-04-13,Spring
