,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
1658,,Beetlejuice,['Tim Burton'],"['Michael McDowell', 'Larry Wilson', '2 more credits']","['Alec Baldwin', 'Geena Davis', 'Michael Keaton']","['Comedy', 'Fantasy']",English,USA,1h 32min,PG,30-Mar-88,70.0,15000000.0,Warner Bros.
1659,,The Mysterious Geographic Explorations of Jasper Morello,['Anthony Lucas'],"['Mark Shirrefs', 'Anthony Lucas', '1 more credit']","['Joel Edgerton', 'Helmut Bakaitis', 'Tommy Dysart']","['Animation', 'Short', 'Adventure', 'Mystery', 'Sci-Fi']",English,Australia,26min,26min,,,,
1660,,The Commitments,['Alan Parker'],"['Roddy Doyle', 'Dick Clement', '2 more credits']","['Robert Arkins', 'Michael Aherne', 'Angeline Ball']","['Comedy', 'Drama', 'Music']",English,Ireland,1h 58min,R,13-Sep-91,73.0,12000000.0,Twentieth Century Fox
1661,,Despicable Me 2,"['Pierre Coffin', 'Chris Renaud']","['Cinco Paul', 'Ken Daurio']","['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",English,USA,1h 38min,PG,3-Jul-13,62.0,76000000.0,Universal Pictures
1662,,Tucker: The Man and His Dream,['Francis Ford Coppola'],"['Arnold Schulman', 'David Seidler']","['Jeff Bridges', 'Joan Allen', 'Martin Landau']","['Biography', 'Drama']",English,USA,1h 50min,PG,12-Aug-88,74.0,23000000.0,Paramount Pictures
1663,,Amadeus,['Milos Forman'],"['Peter Shaffer', 'Peter Shaffer']","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']","['Biography', 'Drama', 'History', 'Music']",English,USA,2h 40min,R,19-Sep-84,88.0,18000000.0,Orion Pictures
1664,,Brother Bear,"['Aaron Blaise', 'Robert Walker']","['Tab Murphy', 'Lorne Cameron', '24 more credits']","['Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,USA,1h 25min,G,7-Nov-03,48.0,128000000.0,Buena Vista Pictures
1665,,Carmen,['Carlos Saura'],"['Prosper Mérimée', 'Carlos Saura', '1 more credit']","['Antonio Gades', 'Laura del Sol', 'Paco de Lucía']","['Drama', 'Music', 'Romance']",Spanish,Spain,1h 42min,R,2-May-83,,,Orion Classics
1666,,Wall Street,['Oliver Stone'],"['Stanley Weiser', 'Oliver Stone']","['Charlie Sheen', 'Michael Douglas', 'Tamara Tunie']","['Crime', 'Drama']",English,USA,2h 6min,R,11-Dec-87,56.0,15000000.0,Twentieth Century Fox
1667,,The Long Way Home,['Mark Jonathan Harris'],['Mark Jonathan Harris'],"['Morgan Freeman', 'Israel Lau', 'Livia Shacter']","['Documentary', 'History', 'War']",English,USA,2h,Not Rated,19-Sep-97,,,
1668,,Ying xiong,['Yimou Zhang'],"['Feng Li', 'Yimou Zhang', '1 more credit']","['Jet Li', 'Tony Chiu-Wai Leung', 'Maggie Cheung']","['Action', 'Adventure', 'History']",Mandarin,China,2h,PG-13,27-Aug-04,85.0,31000000.0,Walt Disney Studios Home Entertainment
1669,,Cliffhanger,['Renny Harlin'],"['John Long', 'Michael France', '2 more credits']","['Sylvester Stallone', 'John Lithgow', 'Michael Rooker']","['Action', 'Adventure', 'Thriller']",English,USA,1h 53min,R,28-May-93,60.0,70000000.0,TriStar Pictures
1670,,Mr. Saturday Night,['Billy Crystal'],"['Billy Crystal', 'Lowell Ganz', '1 more credit']","['Billy Crystal', 'David Paymer', 'Julie Warner']","['Comedy', 'Drama']",English,USA,1h 59min,R,25-Sep-92,,43000000.0,Columbia Pictures
1671,,Edward Scissorhands,['Tim Burton'],"['Tim Burton', 'Caroline Thompson', '1 more credit']","['Johnny Depp', 'Winona Ryder', 'Dianne Wiest']","['Drama', 'Fantasy', 'Romance']",English,USA,1h 45min,PG-13,14-Dec-90,74.0,20000000.0,Twentieth Century Fox
1672,,Country,['Richard Pearce'],['William D. Wittliff'],"['Jessica Lange', 'Sam Shepard', 'Wilford Brimley']",['Drama'],English,USA,1h 45min,PG,29-Sep-84,,,Buena Vista Pictures
1673,,Blood Diamond,['Edward Zwick'],"['Charles Leavitt', 'Charles Leavitt', '1 more credit']","['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly']","['Adventure', 'Drama', 'Thriller']",English,USA,2h 23min,R,8-Dec-06,64.0,100000000.0,Warner Bros.
1674,,Sicario,['Denis Villeneuve'],['Taylor Sheridan'],"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,2h 1min,R,2-Oct-15,82.0,30000000.0,Lionsgate
1675,,Curse of the Golden Flower,['Yimou Zhang'],"['Zhihong Bian', 'Yu Cao', '2 more credits']","['Yun-Fat Chow', 'Li Gong', 'Jay Chou']","['Action', 'Drama', 'History', 'Romance']",Mandarin,China,1h 54min,R,12-Jan-07,70.0,45000000.0,Sony Pictures Classics
1676,,Evil,['Mikael Håfström'],"['Jan Guillou', 'Hans Gunnarsson', '1 more credit']","['Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård']",['Drama'],Swedish,Sweden,1h 53min,Not Rated,26-Sep-03,61.0,,Magnolia Pictures
1677,,The Duchess,['Saul Dibb'],"['Jeffrey Hatcher', 'Anders Thomas Jensen', '2 more credits']","['Keira Knightley', 'Ralph Fiennes', 'Dominic Cooper']","['Biography', 'Drama', 'History', 'Romance']",English,UK,1h 50min,PG-13,10-Oct-08,62.0,,Paramount Pictures
1678,,Molly's Game,['Aaron Sorkin'],"['Aaron Sorkin', 'Molly Bloom']","['Jessica Chastain', 'Idris Elba', 'Kevin Costner']","['Biography', 'Crime', 'Drama']",English,China,2h 20min,R,5-Jan-18,71.0,30000000.0,STX Entertainment
1679,,The Imaginarium of Doctor Parnassus,['Terry Gilliam'],"['Terry Gilliam', 'Charles McKeown']","['Christopher Plummer', 'Lily Cole', 'Heath Ledger']","['Adventure', 'Comedy', 'Fantasy', 'Mystery']",English,UK,2h 3min,PG-13,8-Jan-10,65.0,30000000.0,Sony Pictures Classics
1680,,Elle,['Paul Verhoeven'],"['Philippe Djian', 'David Birke', '1 more credit']","['Isabelle Huppert', 'Laurent Lafitte', 'Anne Consigny']","['Crime', 'Drama', 'Thriller']",French,France,2h 10min,R,11-Nov-16,89.0,,Sony Pictures Classics
1681,,A History of Violence,['David Cronenberg'],"['John Wagner', 'Vince Locke', '1 more credit']","['Viggo Mortensen', 'Maria Bello', 'Ed Harris']","['Drama', 'Thriller']",English,Canada,1h 36min,R,30-Sep-05,81.0,32000000.0,New Line Cinema
1682,,Coraline,['Henry Selick'],"['Henry Selick', 'Neil Gaiman']","['Dakota Fanning', 'Teri Hatcher', 'John Hodgman']","['Animation', 'Drama', 'Family', 'Fantasy', 'Thriller']",English,USA,1h 40min,PG,6-Feb-09,80.0,60000000.0,Focus Features
1683,,The Electric Horseman,['Sydney Pollack'],"['Robert Garland', 'Paul Gaer', '2 more credits']","['Robert Redford', 'Jane Fonda', 'Valerie Perrine']","['Comedy', 'Drama', 'Romance', 'Western']",English,USA,2h 1min,PG,21-Dec-79,64.0,12500000.0,Universal Pictures
1684,,As Good as It Gets,['James L. Brooks'],"['Mark Andrus', 'Mark Andrus', '1 more credit']","['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear']","['Comedy', 'Drama', 'Romance']",English,USA,2h 19min,PG-13,25-Dec-97,67.0,50000000.0,TriStar Pictures
1685,,Rabbit Hole,['John Cameron Mitchell'],"['David Lindsay-Abaire', 'David Lindsay-Abaire']","['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",['Drama'],English,USA,1h 31min,PG-13,28-Jan-11,76.0,5000000.0,Lionsgate
1686,,Monster House,['Gil Kenan'],"['Dan Harmon', 'Rob Schrab', '3 more credits']","['Mitchel Musso', 'Sam Lerner', 'Spencer Locke']","['Animation', 'Comedy', 'Family', 'Fantasy', 'Mystery']",English,USA,1h 31min,PG,21-Jul-06,68.0,75000000.0,Columbia Pictures
1687,,Big Fish,['Tim Burton'],"['Daniel Wallace', 'John August']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup']","['Adventure', 'Drama', 'Fantasy', 'Romance']",English,USA,2h 5min,PG-13,9-Jan-04,58.0,70000000.0,Columbia Pictures
1688,,Killing Joe,['Mehdi Norowzian'],['Chris Fallon'],"['Daniel Bliss', 'Hannes Dükler', 'Ellie Haddington']",['Short'],English,UK,41min,41min,,,,
1689,,La La Land,['Damien Chazelle'],['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt']","['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",English,USA,2h 8min,PG-13,25-Dec-16,94.0,30000000.0,Lionsgate
1690,,In America,['Jim Sheridan'],"['Jim Sheridan', 'Naomi Sheridan', '1 more credit']","['Paddy Considine', 'Samantha Morton', 'Djimon Hounsou']",['Drama'],English,Ireland,1h 45min,PG-13,6-Feb-04,76.0,,Fox Searchlight Pictures
