,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season,Award_Year,Awards_Best Actor in a Leading Role,Awards_Best Actor in a Supporting Role,Awards_Best Actress in a Leading Role,Awards_Best Art Direction-Set Decoration,Awards_Best Cinematography,Awards_Best Director,Awards_Best Film Editing,Awards_Best Motion Picture of the Year,Awards_Best Picture,Awards_Best Sound,Dir_Prev_Score,Director_Avg_Score,Total_Director_Movies,Lead_Actor_Prev_Score,Lead_Actor_Avg_Score,Total_Movies_Lead_Actor,Award_Prev_Score,Award_Avg_Score,Avg_Rating_by_Genre,Avg_Rating_by_MPAA_Rating,Avg_Rating_by_season,Avg_Rating_by_Distribution_company,Writer_Prev_Score,Avg_Rating_by_writer,Buena Vista Pictures,Columbia Pictures,Focus Features,Miramax,Paramount Pictures,Sony Pictures Classics,Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Mystery,Subgenre_Adventure,Subgenre_Comedy,Subgenre_Crime,Subgenre_Drama,Subgenre_Fantasy,Subgenre_History,Subgenre_Music,Subgenre_Mystery,Subgenre_Romance,Subgenre_Thriller,Director_Barry Levinson,Director_Clint Eastwood,Director_Martin Scorsese,Director_Ridley Scott,Director_Robert Zemeckis,Director_Ron Howard,Director_Stephen Frears,Director_Steven Spielberg,Director_Tim Burton,Director_Woody Allen,Lead_Actor_Brad Pitt,Lead_Actor_Denzel Washington,Lead_Actor_Harrison Ford,Lead_Actor_Johnny Depp,Lead_Actor_Leonardo DiCaprio,Lead_Actor_Meryl Streep,Lead_Actor_Michael Douglas,Lead_Actor_Robin Williams,Lead_Actor_Tom Cruise,Lead_Actor_Tom Hanks,Fall,Spring,Summer,Winter,G,Not Rated,PG,PG-13,R,Unrated,Writer_Aaron Sorkin,Writer_George Miller,Writer_Joel Coen,Writer_John Logan,Writer_Lawrence Kasdan,Writer_Lee Hall,Writer_Paul Thomas Anderson,Writer_Pedro Almodóvar,Writer_Quentin Tarantino,Writer_Woody Allen
47,tt2267998,Gone Girl,English,USA,149,R,79.0,61000000.0,Twentieth Century Fox,Best Performance by an Actress in a Leading Role,1,Gillian Flynn,Gillian Flynn,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Drama' 'Mystery,Drama,Mystery,2014-10-03,Fall,2014.0,,,,,,,,,,,71.0,83.0,7,86.0,80.0,4,89.0,73.5,73.14814814814815,74.00187265917603,72.53125,70.2948717948718,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
48,tt0120863,The Thin Red Line,English,USA,170,R,78.0,52000000.0,The Criterion Collection,Best Cinematography,7,James Jones,Terrence Malick,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Drama' 'War,Drama,War,1999-01-15,Winter,1999.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,3,,,2,51.0,59.5,81.92307692307692,74.00187265917603,72.63362068965517,78.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
55,tt4048272,Toni Erdmann,German,Germany,162,R,93.0,11936764.705882356,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Maren Ade,,Maren Ade,Sandra Hüller,Peter Simonischek,Michael Wittenborn,Comedy' 'Drama,Comedy,Drama,2016-12-25,Winter,2016.0,,,,,,,,,,,,,1,,,1,85.0,80.0,75.18518518518519,74.00187265917603,72.63362068965517,79.95454545454545,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
56,tt0280778,Iris,English,UK,91,R,76.0,5500000.0,Miramax,Best Actress in a Leading Role,3,John Bayley,Richard Eyre,Richard Eyre,Judi Dench,Jim Broadbent,Kate Winslet,Biography' 'Drama,Biography,Drama,2002-03-29,Winter,2002.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,71.0,71.0,5,69.0,67.5,73.6046511627907,74.00187265917603,72.63362068965517,74.23529411764706,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
59,tt0091167,Hannah and Her Sisters,English,USA,107,PG-13,90.0,6400000.0,Orion Pictures,Best Actor in a Supporting Role,7,Woody Allen,,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Comedy' 'Drama,Comedy,Drama,1986-03-14,Winter,1986.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.5,12,,,3,69.0,64.5,75.18518518518519,69.28664495114006,72.63362068965517,69.95238095238095,82.0,82.5,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,tt1276419,A Royal Affair,Danish,Denmark,137,R,73.0,2900000.0,Magnolia Pictures,Best Foreign Language Film of the Year,1,Bodil Steensen-Leth,Rasmus Heisterberg,Nikolaj Arcel,Alicia Vikander,Mads Mikkelsen,Mikkel Boe Følsgaard,Biography' 'Drama,Biography,Drama,2012-03-29,Winter,2012.0,,,,,,,,,,,,,1,,,1,82.0,78.0,73.6046511627907,74.00187265917603,72.63362068965517,80.9090909090909,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
67,tt1619029,Jackie,English,USA,100,R,81.0,9000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,3,Noah Oppenheim,,Pablo Larraín,Natalie Portman,Peter Sarsgaard,Greta Gerwig,Biography' 'Drama,Biography,Drama,2016-12-02,Winter,2016.0,,,,,,,,,,,81.0,81.0,2,79.0,72.0,3,89.0,84.0,73.6046511627907,74.00187265917603,72.63362068965517,78.71875,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
70,tt0368794,I'm Not There,English,Germany,135,R,73.0,20000000.0,Metro-Goldwyn-Mayer,Best Performance by an Actress in a Supporting Role,1,Todd Haynes,Oren Moverman,Todd Haynes,Christian Bale,Cate Blanchett,Heath Ledger,Biography' 'Drama,Biography,Drama,2007-12-07,Winter,2007.0,,,,,,,,,,,84.0,84.0,3,70.0,66.0,7,76.0,74.0,73.6046511627907,74.00187265917603,72.63362068965517,66.9375,84.0,84.0,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
71,tt0247196,Before Night Falls,English,USA,133,R,85.0,7741882.352941178,Fine Line Features,Best Actor in a Leading Role,1,"""Cunningham O'Keefe""",Lázaro Gómez Carriles,Julian Schnabel,Javier Bardem,Johnny Depp,Olatz López Garmendia,Biography' 'Drama,Biography,Drama,2001-02-23,Winter,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,,,3,70.0,71.5,73.6046511627907,74.00187265917603,72.63362068965517,79.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
72,tt8991268,Honeyland,Turkish,Republic of North Macedonia,89,Unrated,86.0,11400000.0,Neon,Best Documentary Feature,2,Tamara Kotevska,Ljubomir Stefanov,Tamara Kotevska,Hatidze Muratova,Nazife Muratova,Hussein Sam,Documentary' 'Drama,Documentary,Drama,2019-07-26,Summer,2019.0,,,,,,,,,,,,,1,,,1,85.0,90.0,80.33333333333333,74.2,72.34599156118144,91.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,
74,tt0106226,The Age of Innocence,English,USA,139,PG,90.0,34000000.0,Columbia Pictures,Best Actress in a Supporting Role,5,Edith Wharton,Jay Cocks,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Drama' 'Romance,Drama,Romance,1993-10-01,Fall,1993.0,,,,,,,,,,,73.0,81.5,15,76.0,86.5,7,58.0,68.0,71.075,69.61320754716981,72.53125,68.90277777777777,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
79,tt8404614,The Two Popes,English,UK,125,PG-13,75.0,,,Best Performance by an Actor in a Leading Role,3,Anthony McCarten,,Fernando Meirelles,Anthony Hopkins,Jonathan Pryce,Juan Minujín,Biography' 'Comedy,Biography,Comedy,2019-12-20,Winter,2019.0,,,,,,,,,,,82.0,80.5,3,55.0,56.0,7,87.0,81.5,72.25,69.28664495114006,72.63362068965517,,49.0,62.0,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
82,tt0106977,The Fugitive,English,USA,130,PG-13,87.0,44000000.0,Warner Bros.,Best Actor in a Supporting Role,7,Jeb Stuart,David Twohy,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Action' 'Crime,Action,Crime,1993-08-06,Summer,1993.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,2,65.0,70.5,9,74.0,68.0,70.6470588235294,69.28664495114006,72.34599156118144,68.94949494949495,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,
89,tt2011971,Monsieur Lazhar,French,Canada,95,PG-13,82.0,,Music Box Films,Best Foreign Language Film of the Year,1,Philippe Falardeau,Evelyne de la Chenelière,Philippe Falardeau,Mohamed Fellag,Sophie Nélisse,Émilien Néron,Comedy' 'Drama,Comedy,Drama,2012-03-07,Winter,2012.0,,,,,,,,,,,,,1,,,1,74.0,78.5,75.18518518518519,69.28664495114006,72.63362068965517,75.25,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
90,tt0084805,Tootsie,English,USA,116,PG,88.0,21000000.0,Columbia Pictures,Best Actor in a Leading Role,9,Don McGuire,Larry Gelbart,Sydney Pollack,Dustin Hoffman,Jessica Lange,Teri Garr,Comedy' 'Drama,Comedy,Drama,1982-12-17,Winter,1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,6,77.0,77.0,4,78.0,73.0,75.18518518518519,69.61320754716981,72.63362068965517,68.90277777777777,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
99,tt1568346,The Girl with the Dragon Tattoo,English,USA,158,R,71.0,90000000.0,Columbia Pictures,Best Performance by an Actress in a Leading Role,5,Steven Zaillian,Stieg Larsson,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Crime' 'Drama,Crime,Drama,2011-12-21,Winter,2011.0,,,,,,,,,,,95.0,82.5,7,,,4,81.0,78.5,73.75,74.00187265917603,72.63362068965517,68.90277777777777,87.0,81.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
104,tt0082158,Chariots of Fire,English,UK,125,PG,78.0,5500000.0,Warner Bros.,Best Actor in a Supporting Role,7,Colin Welland,,Hugh Hudson,Ben Cross,Ian Charleson,Nicholas Farrell,Biography' 'Drama,Biography,Drama,1982-04-09,Spring,1982.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,,,1,84.0,70.5,73.6046511627907,69.61320754716981,68.07826086956521,68.94949494949495,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,
111,tt1007029,The Iron Lady,English,UK,105,PG-13,54.0,13000000.0,The Weinstein Company,Best Performance by an Actress in a Leading Role,2,Abi Morgan,,Phyllida Lloyd,Meryl Streep,Jim Broadbent,Richard E. Grant,Biography' 'Drama,Biography,Drama,2012-01-13,Winter,2012.0,,,,,,,,,,,,,1,68.0,74.0,15,65.0,68.0,73.6046511627907,69.28664495114006,72.63362068965517,70.31818181818181,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
113,tt0477302,Extremely Loud & Incredibly Close,English,USA,129,PG-13,46.0,40000000.0,Warner Bros.,Best Motion Picture of the Year,2,Eric Roth,Jonathan Safran Foer,Stephen Daldry,Thomas Horn,Tom Hanks,Sandra Bullock,Adventure' 'Drama,Adventure,Drama,2012-01-20,Winter,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,69.0,4,,,1,72.0,78.0,70.24137931034483,69.28664495114006,72.63362068965517,68.94949494949495,70.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
115,tt0107943,The Remains of the Day,English,USA,134,PG,84.0,15000000.0,Columbia Pictures,Best Actor in a Leading Role,8,Kazuo Ishiguro,Ruth Prawer Jhabvala,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Drama' 'Romance,Drama,Romance,1993-11-19,Fall,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,81.0,6,89.0,83.5,7,90.0,74.5,71.075,69.61320754716981,72.53125,68.90277777777777,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
