IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
tt0117318,The People vs. Larry Flynt,['Milos Forman'],"['Scott Alexander', 'Larry Karaszewski']","['Woody Harrelson', 'Courtney Love', 'Edward Norton']","['Biography', 'Drama']",English,USA,2h 10min,R,10 January 1997 ,79.0,36000000.0,Columbia Pictures
tt7286456,Joker,['Todd Phillips'],"['Todd Phillips', 'Scott Silver', '3 more credits']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']","['Crime', 'Drama', 'Thriller']",English,USA,2h 2min,R,4 October 2019 ,59.0,55000000.0,Warner Bros.
tt1655420,My Week with Marilyn,['Simon Curtis'],"['Adrian Hodges', 'Colin Clark']","['Michelle Williams', 'Eddie Redmayne', 'Kenneth Branagh']","['Biography', 'Drama']",English,UK,1h 39min,R,23 December 2011 ,65.0,,The Weinstein Company
tt1392190,Mad Max: Fury Road,['George Miller'],"['George Miller', 'Brendan McCarthy', '1 more credit']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",English,Australia,2h,R,15 May 2015 ,90.0,150000000.0,Warner Bros.
tt0116695,Jerry Maguire,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']","['Comedy', 'Drama', 'Romance', 'Sport']",English,USA,2h 19min,R,13 December 1996 ,77.0,50000000.0,TriStar Pictures
tt0089716,Colonel Redl,['István Szabó'],"['István Szabó', 'Péter Dobai', '1 more credit']","['Klaus Maria Brandauer', 'Hans Christian Blech', 'Armin Mueller-Stahl']","['Biography', 'Drama', 'History']",German,Yugoslavia,2h 24min,R,4 October 1985 ,,,Orion Classics
tt0424205,Joyeux Noel,['Christian Carion'],['Christian Carion'],"['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet']","['Drama', 'History', 'Music', 'Romance', 'War']",French,France,1h 56min,PG-13,9 November 2005 ,70.0,22000000.0,Sony Pictures Classics
tt0765432,The Baader Meinhof Complex,['Uli Edel'],"['Bernd Eichinger', 'Uli Edel', '1 more credit']","['Martina Gedeck', 'Moritz Bleibtreu', 'Johanna Wokalek']","['Action', 'Biography', 'Crime', 'Drama', 'History', 'Thriller']",German,Germany,2h 30min,R,25 September 2008 ,76.0,,MPI Home Video
tt0405094,The Lives of Others,['Florian Henckel von Donnersmarck'],['Florian Henckel von Donnersmarck'],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']","['Drama', 'Mystery', 'Thriller']",German,Germany,2h 17min,R,30 March 2007 ,89.0,2000000.0,Sony Pictures Classics
tt0119448,Karakter,['Mike van Diem'],"['Ferdinand Bordewijk', 'Laurens Geels', '2 more credits']","['Pavlik Jansen op de Haar', 'Jan Decleir', 'Fedja van Huêt']","['Crime', 'Drama', 'Mystery']",Dutch,Netherlands,2h 2min,R,27 March 1998 ,,4500000.0,Sony Pictures Classics
