,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany,,,,,,,,,,,,,
13,tt2267998,Gone Girl,['David Fincher'],"['Gillian Flynn', 'Gillian Flynn']","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']","['Drama', 'Mystery', 'Thriller']",English,USA,2h 29min,R,3-Oct-14,79,61000000,Twentieth Century Fox,,,,,,,,,,,,,
14,tt0120863,The Thin Red Line,['Terrence Malick'],"['James Jones', 'Terrence Malick']","['Jim Caviezel', 'Sean Penn', 'Nick Nolte']","['Drama', 'War']",English,USA,2h 50min,R,15-Jan-99,78,52000000,The Criterion Collection,,,,,,,,,,,,,
15,tt0095530,Little Dorrit,['Christine Edzard'],"['Charles Dickens', 'Christine Edzard']","['Derek Jacobi', 'Alec Guinness', 'Joan Greenwood']","['Drama', 'Romance']",English,UK,5h 57min,G,21-Oct-88,,,Cannon Film Distributors,,,,,,,,,,,,,
16,tt4048272,Toni Erdmann,['Maren Ade'],['Maren Ade'],"['Sandra Hüller', 'Peter Simonischek', 'Michael Wittenborn']","['Comedy', 'Drama']",German,Germany,2h 42min,R,25-Dec-16,93,,Sony Pictures Classics,,,,,,,,,,,,,
17,tt0280778,Iris,['Richard Eyre'],"['John Bayley', 'Richard Eyre', '1 more credit']","['Judi Dench', 'Jim Broadbent', 'Kate Winslet']","['Biography', 'Drama', 'Romance']",English,UK,1h 31min,R,29-Mar-02,76,5500000,Miramax,,,,,,,,,,,,,
18,tt0091167,Hannah and Her Sisters,['Woody Allen'],['Woody Allen'],"['Mia Farrow', 'Dianne Wiest', 'Michael Caine']","['Comedy', 'Drama']",English,USA,1h 47min,PG-13,14-Mar-86,90,6400000,Orion Pictures,,,,,,,,,,,,,
19,tt1276419,A Royal Affair,['Nikolaj Arcel'],"['Bodil Steensen-Leth', 'Rasmus Heisterberg', '1 more credit']","['Alicia Vikander', 'Mads Mikkelsen', 'Mikkel Boe Følsgaard']","['Biography', 'Drama', 'History', 'Romance']",Danish,Denmark,2h 17min,R,29-Mar-12,73,,Magnolia Pictures,,,,,,,,,,,,,
20,tt1619029,Jackie,['Pablo Larraín'],['Noah Oppenheim'],"['Natalie Portman', 'Peter Sarsgaard', 'Greta Gerwig']","['Biography', 'Drama', 'History']",English,USA,1h 40min,R,2-Dec-16,81,9000000,Fox Searchlight Pictures,,,,,,,,,,,,,
21,tt0368794,I'm Not There,['Todd Haynes'],"['Todd Haynes', 'Oren Moverman', '1 more credit']","['Christian Bale', 'Cate Blanchett', 'Heath Ledger']","['Biography', 'Drama', 'Music']",English,Germany,2h 15min,R,7-Dec-07,73,20000000,Metro-Goldwyn-Mayer,,,,,,,,,,,,,
22,tt0247196,Before Night Falls,['Julian Schnabel'],"[""Cunningham O'Keefe"", 'Lázaro Gómez Carriles', '3 more credits']","['Javier Bardem', 'Johnny Depp', 'Olatz López Garmendia']","['Biography', 'Drama', 'Romance']",English,USA,2h 13min,R,23-Feb-01,85,,Fine Line Features,,,,,,,,,,,,,
23,tt8991268,Honeyland,"['Tamara Kotevska', 'Ljubomir Stefanov']","['Tamara Kotevska', 'Ljubomir Stefanov']","['Hatidze Muratova', 'Nazife Muratova', 'Hussein Sam']","['Documentary', 'Drama']",Turkish,Republic of North Macedonia,1h 29min,Unrated,26-Jul-19,86,,Neon,,,,,,,,,,,,,
24,tt0106226,The Age of Innocence,['Martin Scorsese'],"['Edith Wharton', 'Jay Cocks', '1 more credit']","['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder']","['Drama', 'Romance']",English,USA,2h 19min,PG,1-Oct-93,90,34000000,Columbia Pictures,,,,,,,,,,,,,
25,tt8404614,The Two Popes,['Fernando Meirelles'],['Anthony McCarten'],"['Anthony Hopkins', 'Jonathan Pryce', 'Juan Minujín']","['Biography', 'Comedy', 'Drama', 'History']",English,UK,2h 5min,PG-13,20-Dec-19,75,,,,,,,,,,,,,,,
26,tt0106977,The Fugitive,['Andrew Davis'],"['Jeb Stuart', 'David Twohy', '2 more credits']","['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,2h 10min,PG-13,6-Aug-93,87,44000000,Warner Bros.,,,,,,,,,,,,,
27,tt2011971,Monsieur Lazhar,['Philippe Falardeau'],"['Philippe Falardeau', 'Evelyne de la Chenelière']","['Mohamed Fellag', 'Sophie Nélisse', 'Émilien Néron']","['Comedy', 'Drama']",French,Canada,1h 35min,PG-13,7-Mar-12,82,,Music Box Films,,,,,,,,,,,,,
28,tt0084805,Tootsie,['Sydney Pollack'],"['Don McGuire', 'Larry Gelbart', '2 more credits']","['Dustin Hoffman', 'Jessica Lange', 'Teri Garr']","['Comedy', 'Drama', 'Romance']",English,USA,1h 56min,PG,17-Dec-82,88,21000000,Columbia Pictures,,,,,,,,,,,,,
29,tt0111797,Eat Drink Man Woman,['Ang Lee'],"['Ang Lee', 'James Schamus', '1 more credit']","['Sihung Lung', 'Kuei-Mei Yang', 'Yu-Wen Wang']","['Comedy', 'Drama', 'Romance']",Mandarin,Taiwan,2h 4min,Not Rated,3-Aug-94,,,The Samuel Goldwyn Company,,,,,,,,,,,,,
30,tt1568346,The Girl with the Dragon Tattoo,['David Fincher'],"['Steven Zaillian', 'Stieg Larsson']","['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,2h 38min,R,21-Dec-11,71,90000000,Columbia Pictures,,,,,,,,,,,,,
31,tt0082158,Chariots of Fire,['Hugh Hudson'],['Colin Welland'],"['Ben Cross', 'Ian Charleson', 'Nicholas Farrell']","['Biography', 'Drama', 'Sport']",English,UK,2h 5min,PG,9-Apr-82,78,5500000,Warner Bros.,,,,,,,,,,,,,
32,tt1007029,The Iron Lady,['Phyllida Lloyd'],['Abi Morgan'],"['Meryl Streep', 'Jim Broadbent', 'Richard E. Grant']","['Biography', 'Drama']",English,UK,1h 45min,PG-13,13-Jan-12,54,13000000,The Weinstein Company,,,,,,,,,,,,,
33,tt0477302,Extremely Loud & Incredibly Close,['Stephen Daldry'],"['Eric Roth', 'Jonathan Safran Foer']","['Thomas Horn', 'Tom Hanks', 'Sandra Bullock']","['Adventure', 'Drama', 'Mystery']",English,USA,2h 9min,PG-13,20-Jan-12,46,40000000,Warner Bros.,,,,,,,,,,,,,
34,tt0107943,The Remains of the Day,['James Ivory'],"['Kazuo Ishiguro', 'Ruth Prawer Jhabvala']","['Anthony Hopkins', 'Emma Thompson', 'John Haycraft']","['Drama', 'Romance']",English,USA,2h 14min,PG,19-Nov-93,84,15000000,Columbia Pictures,,,,,,,,,,,,,
35,tt2582802,Whiplash,['Damien Chazelle'],['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']","['Drama', 'Music']",English,USA,1h 46min,R,15-Oct-14,88,3300000,Sony Pictures Classics,,,,,,,,,,,,,
36,tt0084917,The World According to Garp,['George Roy Hill'],"['John Irving', 'Steve Tesich']","['Robin Williams', 'Mary Beth Hurt', 'Glenn Close']","['Comedy', 'Drama']",English,USA,2h 16min,R,23-Jul-82,63,17000000,Warner Bros.,,,,,,,,,,,,,
37,tt2852470,The Missing Picture,['Rithy Panh'],"['Rithy Panh', 'Christophe Bataille']","['Randal Douc', 'Jean-Baptiste Phou']",['Documentary'],French,Cambodia,1h 32min,Not Rated,19-Mar-14,87,,Strand Releasing,,,,,,,,,,,,,
38,tt0124207,The Thief,['Pavel Chukhray'],['Pavel Chukhray'],"['Vladimir Mashkov', 'Yekaterina Rednikova', 'Mikhail Filipchuk']","['Crime', 'Drama']",Russian,Russia,1h 36min,R,17-Jul-98,,2000000,Olive Films,,,,,,,,,,,,,
39,tt2543164,Arrival,['Denis Villeneuve'],"['Eric Heisserer', 'Ted Chiang']","['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",English,USA,1h 56min,PG-13,11-Nov-16,81,47000000,Paramount Pictures,,,,,,,,,,,,,
40,tt2106476,The Hunt,['Thomas Vinterberg'],"['Tobias Lindholm', 'Thomas Vinterberg']","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",['Drama'],Danish,Denmark,1h 55min,R,10-Jan-13,77,3800000,Magnolia Pictures,,,,,,,,,,,,,
41,tt0166943,Music of the Heart,['Wes Craven'],['Pamela Gray'],"['Meryl Streep', 'Cloris Leachman', 'Henry Dinhofer']","['Drama', 'Music']",English,USA,2h 4min,PG,29-Oct-99,54,27000000,Miramax,,,,,,,,,,,,,
42,tt0253474,The Pianist,['Roman Polanski'],"['Ronald Harwood', 'Wladyslaw Szpilman']","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']","['Biography', 'Drama', 'Music', 'War']",English,UK,2h 30min,R,28-Mar-03,85,35000000,Focus Features,,,,,,,,,,,,,
43,tt0465551,Notes on a Scandal,['Richard Eyre'],"['Patrick Marber', 'Zoë Heller']","['Cate Blanchett', 'Judi Dench', 'Andrew Simpson']","['Crime', 'Drama', 'Romance', 'Thriller']",English,UK,1h 32min,R,26-Jan-07,73,15000000,Fox Searchlight Pictures,,,,,,,,,,,,,
44,tt0387131,The Constant Gardener,['Fernando Meirelles'],"['Jeffrey Caine', 'John le Carré']","['Ralph Fiennes', 'Rachel Weisz', 'Danny Huston']","['Drama', 'Mystery', 'Romance', 'Thriller']",English,UK,2h 9min,R,31-Aug-05,82,25000000,Focus Features,,,,,,,,,,,,,
45,tt0095276,Hanussen,['István Szabó'],"['Péter Dobai', 'Erik Jan Hanussen', '3 more credits']","['Klaus Maria Brandauer', 'Erland Josephson', 'Ildikó Bánsági']","['Drama', 'History']",Hungarian,Hungary,2h 20min,R,10-Mar-89,,,Columbia Pictures,,,,,,,,,,,,,
46,tt0106332,Farewell My Concubine,['Kaige Chen'],"['Pik Wah Lee', 'Pik Wah Lee', '1 more credit']","['Leslie Cheung', 'Fengyi Zhang', 'Li Gong']","['Drama', 'Music', 'Romance']",Mandarin,China,2h 51min,R,15-Oct-93,,4000000,Miramax,,,,,,,,,,,,,
47,tt2562232,Birdman or,['Alejandro G. Iñárritu'],"['Alejandro G. Iñárritu', 'Nicolás Giacobone', '3 more credits']","['Michael Keaton', 'Zach Galifianakis', 'Edward Norton']","['Comedy', 'Drama']",English,USA,1h 59min,R,14-Nov-14,87,18000000,Fox Searchlight Pictures,,,,,,,,,,,,,
48,tt2084970,The Imitation Game,['Morten Tyldum'],"['Graham Moore', 'Andrew Hodges']","['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']","['Biography', 'Drama', 'Thriller', 'War']",English,UK,1h 54min,PG-13,25-Dec-14,73,14000000,The Weinstein Company,,,,,,,,,,,,,
49,tt0390221,Maria Full of Grace,['Joshua Marston'],['Joshua Marston'],"['Catalina Sandino Moreno', 'Guilied Lopez', 'Orlando Tobón']","['Crime', 'Drama']",Spanish,Colombia,1h 41min,R,6-Aug-04,87,3000000,Fine Line Features,,,,,,,,,,,,,
50,tt0465538,Michael Clayton,['Tony Gilroy'],['Tony Gilroy'],"['George Clooney', 'Tilda Swinton', 'Tom Wilkinson']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,1h 59min,R,12-Oct-07,82,25000000,Warner Bros.,,,,,,,,,,,,,
51,tt0097322,The Fabulous Baker Boys,['Steve Kloves'],['Steve Kloves'],"['Jeff Bridges', 'Michelle Pfeiffer', 'Beau Bridges']","['Comedy', 'Drama', 'Music', 'Romance']",English,USA,1h 54min,R,13-Oct-89,85,13000000,Twentieth Century Fox,,,,,,,,,,,,,
52,tt0441909,Volver,['Pedro Almodóvar'],['Pedro Almodóvar'],"['Penélope Cruz', 'Carmen Maura', 'Lola Dueñas']","['Comedy', 'Drama']",Spanish,Spain,2h 1min,R,26-Jan-07,84,,Sony Pictures Classics,,,,,,,,,,,,,
53,tt1065073,Boyhood,['Richard Linklater'],['Richard Linklater'],"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']",['Drama'],English,USA,2h 45min,R,15-Aug-14,100,4000000,IFC Films,,,,,,,,,,,,,
54,tt0108101,Shadowlands,['Richard Attenborough'],"['William Nicholson', 'William Nicholson']","['Anthony Hopkins', 'Debra Winger', 'Julian Fellowes']","['Biography', 'Drama', 'Romance']",English,UK,2h 11min,PG,14-Jan-94,,22000000,Savoy Pictures,,,,,,,,,,,,,
55,tt2059255,No,['Pablo Larraín'],"['Pedro Peirano', 'Antonio Skármeta']","['Gael García Bernal', 'Alfredo Castro', 'Antonia Zegers']",['Drama'],Spanish,Chile,1h 58min,R,9-Aug-12,81,,Sony Pictures Classics,,,,,,,,,,,,,
56,tt0935075,Rabbit Hole,['John Cameron Mitchell'],"['David Lindsay-Abaire', 'David Lindsay-Abaire']","['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",['Drama'],English,USA,1h 31min,PG-13,28-Jan-11,76,5000000,Lionsgate,,,,,,,,,,,,,
57,tt0108149,Six Degrees of Separation,['Fred Schepisi'],"['John Guare', 'John Guare']","['Will Smith', 'Stockard Channing', 'Donald Sutherland']","['Comedy', 'Drama', 'Mystery']",English,USA,1h 52min,R,8-Dec-93,72,12000000,Metro-Goldwyn-Mayer,,,,,,,,,,,,,
58,tt0082853,Only When I Laugh,['Glenn Jordan'],"['Neil Simon', 'Neil Simon']","['Marsha Mason', 'Kristy McNichol', 'Ed Moore']","['Comedy', 'Drama']",English,USA,2h,R,25-Sep-81,,,Columbia Pictures,,,,,,,,,,,,,
59,tt0119815,Four Days in September,['Bruno Barreto'],"['Fernando Gabeira', 'Leopoldo Serran']","['Alan Arkin', 'Pedro Cardoso', 'Fernanda Torres']","['Action', 'Drama', 'History', 'Thriller']",Portuguese,Brazil,1h 50min,R,30-Jan-98,,,Miramax,,,,,,,,,,,,,
60,tt0092593,Au Revoir les Enfants,['Louis Malle'],"['Louis Malle', 'Louis Malle']","['Gaspard Manesse', 'Raphael Fejtö', 'Francine Racette']","['Drama', 'War']",French,France,1h 44min,PG,12-Feb-88,88,,Orion Classics,,,,,,,,,,,,,
61,tt3553976,Captain Fantastic,['Matt Ross'],['Matt Ross'],"['Viggo Mortensen', 'George MacKay', 'Samantha Isler']","['Comedy', 'Drama']",English,USA,1h 58min,R,29-Jul-16,72,,Bleecker Street Media,,,,,,,,,,,,,
62,tt0338751,The Aviator,['Martin Scorsese'],['John Logan'],"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale']","['Biography', 'Drama']",English,Germany,2h 50min,PG-13,25-Dec-04,77,110000000,Miramax,,,,,,,,,,,,,
63,tt1907668,Flight,['Robert Zemeckis'],['John Gatins'],"['Denzel Washington', 'Nadine Velazquez', 'Don Cheadle']","['Drama', 'Thriller']",English,USA,2h 18min,R,2-Nov-12,76,31000000,Paramount Pictures,,,,,,,,,,,,,
64,tt7349662,BlacKkKlansman,['Spike Lee'],"['Charlie Wachtel', 'David Rabinowitz', '3 more credits']","['John David Washington', 'Adam Driver', 'Laura Harrier']","['Biography', 'Crime', 'Drama']",English,USA,2h 15min,R,10-Aug-18,83,15000000,Focus Features,,,,,,,,,,,,,
65,tt0467406,Juno,['Jason Reitman'],['Diablo Cody'],"['Ellen Page', 'Michael Cera', 'Jennifer Garner']","['Comedy', 'Drama']",English,USA,1h 36min,PG-13,25-Dec-07,81,7500000,Fox Searchlight Pictures,,,,,,,,,,,,,
66,tt0094828,Camille Claudel,['Bruno Nuytten'],"['Reine-Marie Paris', 'Bruno Nuytten', '2 more credits']","['Isabelle Adjani', 'Gérard Depardieu', 'Madeleine Robinson']","['Biography', 'Drama', 'History', 'Romance']",French,France,2h 55min,R,21-Dec-89,,,Orion Classics,,,,,,,,,,,,,
67,tt0454876,Life of Pi,['Ang Lee'],"['Yann Martel', 'David Magee']","['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain']","['Adventure', 'Drama', 'Fantasy']",English,USA,2h 7min,PG,21-Nov-12,79,120000000,Fox 2000 Pictures,,,,,,,,,,,,,
68,tt0959337,Revolutionary Road,['Sam Mendes'],"['Justin Haythe', 'Richard Yates']","['Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald']","['Drama', 'Romance']",English,USA,1h 59min,R,23-Jan-09,69,35000000,DreamWorks Distribution,,,,,,,,,,,,,
69,tt6751668,Parasite,['Bong Joon Ho'],"['Bong Joon Ho', 'Bong Joon Ho', '1 more credit']","['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Jo']","['Comedy', 'Drama', 'Thriller']",Korean,South Korea,2h 12min,R,8-Nov-19,96,11400000,Neon,,,,,,,,,,,,,
70,tt0081375,Private Benjamin,['Howard Zieff'],"['Nancy Meyers', 'Charles Shyer', '1 more credit']","['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']","['Comedy', 'War']",English,USA,1h 49min,R,10-Oct-80,59,10000000,Warner Bros.,,,,,,,,,,,,,
71,tt0078754,All That Jazz,['Bob Fosse'],"['Robert Alan Aurthur', 'Bob Fosse']","['Roy Scheider', 'Jessica Lange', 'Ann Reinking']","['Drama', 'Music', 'Musical']",English,USA,2h 3min,R,20-Dec-79,72,,Twentieth Century Fox,,,,,,,,,,,,,
72,tt0086450,To Be or Not to Be,['Alan Johnson'],"['Thomas Meehan', 'Ronny Graham', '2 more credits']","['Mel Brooks', 'Anne Bancroft', 'Ronny Graham']","['Comedy', 'Drama', 'War']",English,USA,1h 47min,PG,16-Dec-83,61,9000000,Twentieth Century Fox,,,,,,,,,,,,,
73,tt0101410,Barton Fink,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen']","['John Turturro', 'John Goodman', 'Judy Davis']","['Comedy', 'Drama', 'Thriller']",English,USA,1h 56min,R,21-Aug-91,69,9000000,Twentieth Century Fox,,,,,,,,,,,,,
74,tt0085244,The Big Chill,['Lawrence Kasdan'],"['Lawrence Kasdan', 'Barbara Benedek']","['Tom Berenger', 'Glenn Close', 'Jeff Goldblum']","['Comedy', 'Drama']",English,USA,1h 45min,R,30-Sep-83,61,8000000,Columbia Pictures,,,,,,,,,,,,,
75,tt0361748,Inglourious Basterds,['Quentin Tarantino'],['Quentin Tarantino'],"['Brad Pitt', 'Diane Kruger', 'Eli Roth']","['Adventure', 'Drama', 'War']",English,Germany,2h 33min,R,21-Aug-09,69,70000000,The Weinstein Company,,,,,,,,,,,,,
76,tt0452623,Gone Baby Gone,['Ben Affleck'],"['Ben Affleck', 'Aaron Stockard', '1 more credit']","['Morgan Freeman', 'Ed Harris', 'Casey Affleck']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,1h 54min,R,19-Oct-07,72,19000000,Miramax,,,,,,,,,,,,,
77,tt0096028,Salaam Bombay!,['Mira Nair'],"['Hriday Lani', 'Mira Nair', '2 more credits']","['Shafiq Syed', 'Hansa Vithal', 'Chanda Sharma']","['Crime', 'Drama']",Hindi,UK,1h 53min,Not Rated,7-Oct-88,78,,Cinecom Pictures,,,,,,,,,,,,,
78,tt1535109,Captain Phillips,['Paul Greengrass'],"['Billy Ray', 'Richard Phillips', '1 more credit']","['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman']","['Adventure', 'Biography', 'Crime', 'Drama', 'Thriller']",English,USA,2h 14min,PG-13,11-Oct-13,82,55000000,Columbia Pictures,,,,,,,,,,,,,
79,tt3741834,Lion,['Garth Davis'],"['Saroo Brierley', 'Luke Davies']","['Dev Patel', 'Nicole Kidman', 'Rooney Mara']","['Biography', 'Drama']",English,UK,1h 58min,PG-13,6-Jan-17,69,12000000,The Weinstein Company,,,,,,,,,,,,,
80,tt1084950,Rachel Getting Married,['Jonathan Demme'],['Jenny Lumet'],"['Anne Hathaway', 'Rosemarie DeWitt', 'Debra Winger']","['Drama', 'Romance']",English,USA,1h 53min,R,31-Oct-08,82,,Sony Pictures Classics,,,,,,,,,,,,,
81,tt0104928,Mr. Saturday Night,['Billy Crystal'],"['Billy Crystal', 'Lowell Ganz', '1 more credit']","['Billy Crystal', 'David Paymer', 'Julie Warner']","['Comedy', 'Drama']",English,USA,1h 59min,R,25-Sep-92,,43000000,Columbia Pictures,,,,,,,,,,,,,
82,tt0338135,The Barbarian Invasions,['Denys Arcand'],['Denys Arcand'],"['Rémy Girard', 'Dorothée Berryman', 'Stéphane Rousseau']","['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",French,Canada,1h 39min,R,5-Mar-04,70,,Miramax,,,,,,,,,,,,,
83,tt0775529,The Savages,['Tamara Jenkins'],['Tamara Jenkins'],"['Laura Linney', 'Philip Seymour Hoffman', 'Philip Bosco']","['Comedy', 'Drama']",English,USA,1h 53min,R,1-Feb-08,85,,Fox Searchlight Pictures,,,,,,,,,,,,,
84,tt1013753,Milk,['Gus Van Sant'],['Dustin Lance Black'],"['Sean Penn', 'Josh Brolin', 'Emile Hirsch']","['Biography', 'Drama']",English,USA,2h 8min,R,30-Jan-09,84,20000000,Focus Features,,,,,,,,,,,,,
85,tt1302006,The Irishman,['Martin Scorsese'],"['Steven Zaillian', 'Charles Brandt']","['Robert De Niro', 'Al Pacino', 'Joe Pesci']","['Biography', 'Crime', 'Drama']",English,USA,3h 29min,R,27-Nov-19,94,159000000,Netflix,,,,,,,,,,,,,
86,tt0084874,Volver a empezar,['José Luis Garci'],"['José Luis Garci', 'Ángel Llorente']","['Antonio Ferrandis', 'Encarna Paso', 'José Bódalo']",['Drama'],Spanish,Spain,1h 27min,PG,1-Mar-82,,,20th Century Fox International Classics,,,,,,,,,,,,,
87,tt2305051,Wild,['Jean-Marc Vallée'],"['Nick Hornby', 'Cheryl Strayed']","['Reese Witherspoon', 'Laura Dern', 'Gaby Hoffmann']","['Biography', 'Drama']",English,USA,1h 55min,R,19-Dec-14,76,15000000,Fox Searchlight Pictures,,,,,,,,,,,,,
88,tt0088939,The Color Purple,['Steven Spielberg'],"['Menno Meyjes', 'Alice Walker']","['Danny Glover', 'Whoopi Goldberg', 'Oprah Winfrey']",['Drama'],English,USA,2h 34min,PG-13,7-Feb-86,78,15000000,Warner Bros.,,,,,,,,,,,,,
89,tt0101811,Enchanted April,['Mike Newell'],"['Elizabeth von Arnim', 'Peter Barnes']","['Alfred Molina', 'Joan Plowright', 'Miranda Richardson']",['Drama'],English,UK,1h 35min,PG,25-Dec-92,78,,Miramax,,,,,,,,,,,,,
90,tt0870111,Frost/Nixon,['Ron Howard'],"['Peter Morgan', 'Peter Morgan']","['Frank Langella', 'Michael Sheen', 'Kevin Bacon']","['Biography', 'Drama', 'History']",English,UK,2h 2min,R,23-Jan-09,80,25000000,Universal Pictures,,,,,,,,,,,,,
91,tt0081568,The Stunt Man,['Richard Rush'],"['Lawrence B. Marcus', 'Richard Rush', '1 more credit']","[""Peter O'Toole"", 'Steve Railsback', 'Barbara Hershey']","['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']",English,USA,2h 11min,R,27-Jun-80,77,3500000,Twentieth Century Fox,,,,,,,,,,,,,
92,tt0089276,The Official Story,['Luis Puenzo'],"['Aída Bortnik', 'Luis Puenzo']","['Norma Aleandro', 'Héctor Alterio', 'Chunchuna Villafañe']","['Drama', 'History', 'War']",Spanish,Argentina,1h 52min,Not Rated,8-Nov-85,,,Almi Pictures,,,,,,,,,,,,,
93,tt0080549,Coal Miner's Daughter,['Michael Apted'],"['Thomas Rickman', 'Loretta Lynn', '1 more credit']","['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm']","['Biography', 'Drama', 'Music']",English,USA,2h 4min,PG,7-Mar-80,87,,Universal Pictures,,,,,,,,,,,,,
